Timestamp,Keyword,Author,Page,Book Title,Quick Quote
10/31/2017 20:13:29,Open-Source,Graham and Cook,117,Rethinking Curating - Art After New Media,"Open source is a specific term for collaborative production of software, where the source code of how the system work is available for modification by any programmer. However, the collaboration may not be egalitarian; hierarchies of skill and time most certainly apply and are acknowledged by those inside the system. "
10/31/2017 20:15:23,The Work,Graham and Cook,118,Rethinking Curating - Art After New Media,"For new media, the political, social and commercial structures of 'work' are often based on systems that differ from old understandings. At the time of the Industrial Revolution, the cooperative movement stood as a clear alternative to capitalism and to the company store. For socially engaged art, collaborative practices are clearly challenging individual authorship, the art museum, and art audiences. "
10/31/2017 20:54:06,New Media Theory,Wendy Hui Kyong Chun,1,"New Media, Old Media - A History and Theory Reader","The term 'new media' came into prominence in the mid-1990s, usurping the place of 'multimedia'"" in the fields of business and art. Unlike its predecessor, the term 'new media' was not accommodating: it portrayed other media as old or dead; it converged rather than multiplied; it did not efface itself in favor of a happy if redundant plurality. The singular plurality of the phrase (""new media"" is a plural noun treated as a singular subject) stemmed from its negative definition: it was not mass media, specifically television. It was fluid, individualized connectivity, a medium to distribute control and freedom. Alghough new media deende d heavily on computerization, new media was not simply ""digital media"": that i, i was not digitized forms of other media (photography, video, text), but rather an interactive medium or form of distribution as independent as the information it relayed."
10/31/2017 23:15:03,Software Library,Manovich,204,Vision Anew - the Lens and Screen Arts,"Or what about the most basic media types: text, images, video, sound, maps? Obviously, these media types have different representational and expressive capabilities; they can produce different emotional effects; they are processed by different networks of neurons; and hey also likely correspond to different types of mental processes and mental representations. These differences have been discussed for thousand of years --from ancient philosophy to classical aesthetic theory to modern art theory and contemporary neuroscience. For example, sound, video, and animation can represent temporal processes; language can be used to specify logical relations; and so on. Software did not change much here. What it did fundamentally change, however, is how concrete instances of such media types (and their various combinations) function in practice. The result is that any such instance lost much of its unique identity. What as users we experience as particular properties of a piece of media come from software used to create, edit, present, and access this content."
10/31/2017 23:17:46,Software Library,Manovich,206,Vision Anew - the Lens and Screen Arts,"If you want to escape our prison of software --or at least better understand what media is today --stop downloading apps created by others. Instead, learn to program --and teach it to your students."
10/31/2017 23:40:08,Authorship,Born,14,Rationalizing Culture,"Central among the questions raised by the crisis of musical modernisms is to what extent composers are aware of the relation between their aesthetic and the likely fate of their music in terms of public reception and economic subsidy. Or does this relation, and the way that it might feed back into composers' aesthetic choices, remain largely an involuntary and/or unconscious one? This touches on the heart of romantic conceptions of the artist, in which the artist is simply an involuntary vessel through which inspiration flows. The aesthetic is seen here as an essential extension of the self, almost beyond conscious reach, and integrity is gauged by the artist's determined commitment to this aesthetic. In questioning this view, a different conception of the artist as subject and of the artistic oeuvre may be required (Foucault 1984c)... Poststructuralist critiques of authorship are therefore metonymic of the wider questioning of classic humanist notions of a unified, sovereign, and rational subject. I employ psychoanalytic theory to sketch an alternative conception of the composer-subject."
10/31/2017 23:43:14,Authorship,Born,14,Rationalizing Culture,"While for some decades it has been an article of postrsructuralist faith to interrogate the 'author' as construct, this has not been supported by much empirical or historical research. Here I examine the construction of authorship at many levels: not only the strategies by which individuals become invested with the extraordinary charisma of the creative artist, the motivations, contestations and contradictions of the process, and how the discourse of authorship is used in strategies of individual and institutional legitimation, but also the ways in which the process is subjectively internalized, the ambivalence to which this gives rise, and the internal violence that may be involved in overcoming this ambivalence."
10/31/2017 23:45:09,Authorship,Born,14,Rationalizing Culture,"I examine authorship in relation not only to musical composition at IRCAM but also to computer technologies, and insights are generated into each. At one level these concern the different kinds of collaborative labor and the social relations of each area of cultural production, illuminating issues such s the pleasures and tensions of collaborative cultural production and related questions of intellectual property"
11/1/2017 14:52:06,Image,Mitchel and Khalip,2,Releasing the Image - From Literature to New Media,"... it has beceome a commonplace to insist that 'images' played a central role in twentieth-century culture and promise to play an even more powerful role in tewnty-first century life and thought. And if one also believes, as Kaja Silverman has insisted, that visuality is onur most significant and primary form of ethical engagement with the world, then the continueds refinement of image-producing technologies such as photography and cinema, and their dissemination through multiple arenas of life, ranging from leisure activities to war and surveillance technologies, seems to justify claims that modern socieety is obsessed with and inscribed by spectacles and images."
11/1/2017 14:56:35,Image,mitchell and khalip,2,Releasing the Image - From Literature to New Media,"... Jarman's film reminds us that our current obsession with images is often implicitly understood in terms of an ocularcentrism that is purported to define selves, networks of forces, ethical relationships, and their media withinvisual economies that conceptually indenture 'life' to the image."
11/1/2017 15:02:28,Image,mitchell and khalip,2,Releasing the Image - From Literature to New Media,"The recent rise to prominence of technologies of digitalization has offered possibilities of understanding the image beyond this premise of ocularcentrism, for digital images emphasize the extent to which the indexicalityu of photographic or cinematic images --the sense of an ontological link between a representation and the 'real' objects r actions that it represents --can be produced through manipulation of allgorithms.  ... As a consequence, and despite its apparent ubiquity, 'the image' as a category of analysis remains remarkably resistant to theoretical understanding."
11/1/2017 15:04:47,Image,mitchell and khalip,3,Releasing the Image - From Literature to New Media,"For Ranciere, 'image' stands for ever-shifting processes of inscription and articulation: the 'sayable and the visible' refer to connections between sight and writing that mutually inform one another. The production of the image implies not that all images are artificially made, but rather that our capacity for image-making and image -receivin are underwritten by a technicity that relationally unbind the phenomenolofgical and cognitive subject."
11/1/2017 16:30:33,Image,geimer,27,Releasing the Image - From Literature to New Media,"The image that 'generates itself' seems to be a monstrosity, a non-thing [Unding], if one assummes that people produce images;  that is, that images do not come into being absent an intentional act but are rather the results of conscious or unconsious intentions. "
11/2/2017 14:46:02,Image,Agamben,61,Releasing the Image - From Literature to New Media,"...the spectator realizes with surprise that what caught his attention is no just the animation of the images that he was used to considering immobile. It is, rather, a transformation that concerns the very nature of fthose images... And because the real paradigm of life in the modern era is not movement but time, this means that there is a life of images that it is our task to understand. As the author himself states [Bill Viola]... ""the essence of the visual medium is time ... images live within us. At this moment we each have an extenssive visual world inside of us ... We are living databases of images -collectors of images- and these images do not stop transforming and growing once they get inside us"""
11/2/2017 15:05:26,Image,hansen,89,Releasing the Image - From Literature to New Media,"...this exploration shows ... that images --whether mental or material, microtemporal or macrotemporal, proto-conscious or phenomenologically conscious --are irreducibly temporal entities or processes ... rather than their being --and indeed as the precondition for their becoming-- 'fixed mentral' or material, images are fundamentally temporal processes or ... temporallizations of 'light-matter'."
11/2/2017 15:24:06,Image,hansen,97,Releasing the Image - From Literature to New Media,"... Re-collector [james coupe] would appear to exploiit precisely that direct cntact with the sensory flux that Mraurizio Lazzarato, following Nam June Paik, discerns in video technology: ""all images produced by electronic and difital technologies are tranformation and combinations (composites) of intensities, forces, fields, taking place in the flow -the electromagnetic flow in the case of vide,ethe optical flow in the case fo the telematic, the algorhythmnic flow in the case of the computer. The transition from the first to the last can be defined as an increasingly forced deterritorialization. ... The flow of information overgomces, again, matter, and light is just mathematic (non-discursive) language. "
11/2/2017 15:27:07,Image,hansen,98,Releasing the Image - From Literature to New Media,"For Lazzarato, as fr DEleuze before him, video and digital technologies take the lace of the Bergsonist body as center of indetermination within a universe of images; what results is a massive deterritorialization of perception from its allefedly constraining correlation to human embodiment and habit. ... Operating as 'maachines to crystallize time,' vidfeo and digital technologies increase the delay between perception and reactionl in this way they extend our power to act beyond the well-worn contradictions known as habit. Yet the key question remains wheether, in so doing, the sever contact with embodied sensation."
11/2/2017 16:14:46,Sound,timothy murray,138,Releasing the Image - From Literature to New Media,"Put similarly by Jean-Luc Nancy, who philosophizes on the shared space of sound and meaning, the latter, meaning. ""is made of a totality of referrals: froom a singn to a thing, from a state of things to a quality, from a subject to another subject or to itself, all simultaneously. Sound is also made of referrals: it spereads in space, where it resounds while still resounding 'in me'"". ..."
11/2/2017 16:17:20,Image,imothy murray,138,Releasing the Image - From Literature to New Media,"As the carrier of 'intimate force' and 'intensity', the image, even when musical, choreographic, or cinematic, does not so much 'represent' as 'activate' and 'intensify' representation and its 'touch'. Iut is this 'immaterial'force that lends the image its 'impalpable nature' and that constitutes that which it 'images'. To image sound, in this context, would necessitate activating the intransitive verb favored by Nancy, 'to image' nether 'to illostrate' nor 'to imagine' but 'faire l'image', to lend touch, intensity, and force to what is by definiton incorporeal, to what lies solely neither in material nor in its materialization (127-27)."
11/2/2017 16:19:14,Sound,murray,139,Releasing the Image - From Literature to New Media,"Nancy takes this linkage of electric sound to temporality one step further by locating 'sonorous time' as the very immaterial stuff of expansion and resounding as 'a present in waves on a swell, not a point on a line'."
11/2/2017 16:35:58,Image,murray,149,Releasing the Image - From Literature to New Media,"""in a relationship only with an indirect image *of* rime (rependent on montage), the pure optical and suond image, its opsigns and sonsigns, are directly connected to a time-image, which has subordinated movement... movement is the perspective of time"" (22). Rather than insisting tha the sonsisgn be liberated from the image, Deleuze suggests that the cinematic sonsign is juxtaposed or enfolded via irrational cuts with the pure optical sign that serves a corollary function of imaging intensity. A pure optical and sound image ""makes us graps, it is supposed to make us graps, something intolerable and unbearable . .. It is a matter of something too powerful, or too unjust, but sometimes also too beautiful, and which henceforth outstrips our sensory-motor capacities: (19). So instead of needing to liberate sound from image in the intermedia environment, we could take the lead from Deleuze to dwqell on the folding of image into sound, as the aural horizon of intensity itself. Indeed, the irrational interstice, that is, the irrational cut between two images, the visual and the sonorous, actually reinforces what Deleuze calls ""the victory of the audio-visual (253)"":. Crucial to the irrational relation of the ttwo disssymetrical trajectories of the visual nand the sonorous, however, is Deleuze's insistence that 'the audio-visual image is not a whole, it is a 'fusion of the tear' (268)."
11/2/2017 16:51:15,Database,Vesna,XIV,Database Aesthetics: art in the age of information,"my work increasingly became informed by my realization of how databases are shaping our collective reality. As soon as I started exploring the Internet as a creative space in 1993, I was confronted with large sets of data. ... My goal is to give a sense of context that artists respond to by observing, critiquing, and directly engaging the infrastructures of databases in our creative work, exposing the invisiible realm that is rarely connected to the idead of creativity and even less to any kind of aesthetics."
11/2/2017 16:55:04,Data Revolution,vesna,8,Database Aesthetics: art in the age of information,"Int he computerized paradigm, humans are perceived as information, as evidenced by both the Visible Human Project and the Human Genome Project, or as information-processing entities. In both cases the "":human"" is abstracted from the larger social conditions we occupy. If we juxtapose these asumptions with late capitalism, moving away from durable product to information, we can easily translate this to the art world's dematerialization of the object. We could celebrate this event as as victory of conceptiual moevemnts or see it as a dangerous intersection where information about us is being colelcted, stored, and databased without the opportunity for us to choose, or to know, or too accept either its worth or its consequences."
11/3/2017 10:03:51,Sound,Warren Neidich,66,"Blow-Up: Photography, Cinema and The Brain","Time images that activate modernist cinema are differentiated from movement images which, by their disconnection of time from space, are the hallmark of classic cinema. Time becomes independent of space because th temporal continuity of the reaction time of the body as it responds to a stimulus in the sensory-motor schema is broken. When time and space are split off from the normal linkages that connect events, time and space are reconfigured under the abstract notion of 'any-space-whatever'. Sonsigns and opsigns are the neologistic inventions Deleuze creates to delineate these differences. Both are the result of the creation of a meta-cinema and meta-language with wchich to read and understand it. Sonsigns are pure aural sensations untethered to the physical body, as are opsigns, their visual counterpart. Images freed from the body can dance and wander, no longer adhering to tonal rhythms: ""Specular moments give way to the most banal ones without a sense of rational logic... In the end the cinema trips into an ambiguity so overwhelming that the imaginary and real become indiscernible."" (Flaxman, 2000,p32)"
11/3/2017 10:07:44,Image,Neidich,67,"Blow-Up: Photography, Cinema and The Brain","Deleuze makes another distinction in his taxonomy of film history, as he takes his idea of modern and classic cinema one step further and distinguishes between 'organic' and 'crystalline' cinema. He builds this other level of distinguion though his idea of a crysstal image of which opsigns are silvers. A crystal imiage is the point of indiscernibility when there is a 'coalescence of the actual image and the virtual image, the image with two sides, actual adn virtual at the same time' (deleuze, cinema2,p69). The crystalline regime is made up of these kinds of images and is distinguished from its ontological counterpart called organic cinema, from which it emerges in three ways. ... evokes images as descriptions without their normal linkages to a motor event that would usually follow .... confouonds the relation between the real and the imaginary and instead invokes the terms actual and virtual. ... develeops narration out of anomalies, irregultarities, and false continuity rather than the field of forces, oppositions, and tensions that normally characterize the organic regime."
11/3/2017 10:25:18,Aesthetics,Neidich,73,"Blow-Up: Photography, Cinema and The Brain","Aesthetics has two 'modus operandi'. First, it constructs what is outside the brain into packages of information that can be understoo drapidly and efficiently. It does so by creating and recreating networks that can be appreciated as an ensemble, and whose assemblage is dictated by the proclivities of the neurobiological apparatus.  That is to say that the connections between objects, their relations, and the spaces they occupy are arrangedd spatially and temporally according to the prescribed architectonic arrangements of neural networks in the brain. The  history of aesthetics is partly an unconscious dialogue between the evolving neurobiological structures and the mutating cultural/visual landscape. In this way aesthetics can be seen to be 'ergonomically' activating. Aesthetcis constructs and organizes the visual landscape according to prescribed rules that are tuned to specific abilities of the human nervous system, allowing it to respond with greater efficiency. ... the nervous system has been sculpted by certain political, historical, psychological, and social relations that form homologous interdititated ensembles of coherent meaning. Aesthetic production, being as it is an output of that inscribed neurobiological structure, will reflect that condition."
11/3/2017 10:53:12,Image,neidich,101,"Blow-Up: Photography, Cinema and The Brain","Networked relations in the real workd configure network erelations in the brain. Photography, cinema, and now new media have done much to change the way time and space are encoded into t he networked relations of the world, and have done much to reconfigure the real world intoareal/virtual interface. Fields of phatic signifiers have been artificaially created to capture the attention of the human observer. Utilizing a strategy I hav etermed cognitve ergonomics, arttificial stimuli have been ergineered to have superior attention-grabbing capabilities beyond their naturally created counterparts. As such, these artificial stimuli compete more effectively for neural space as they configure superior neural network configurations that are faster and more efficient. THere ergonomically contrived network sysetems have selective advantage over those that  are not, and thus crowd out those less selective neural networks. Somewhere in the midsts of this ontogenetic process we meet Thomas, the main charatceer of Blow Up, who suffers through a predicament beyond his control. It is a kind of disease of the late twentieth century that w might call 'artificially induced disparate memory syndrome,' in which organic and artificial memory systems compete for consiousness';s attention, leaving the subject distraught and disassociated."
11/3/2017 17:36:08,Database,Manovich,217,The New Media Book,"...the operations of searching, sorting, filtering, indexing and classifying which before were within the strict domain of human intelligence become automated.... the new aesthetic possibilities offered by computer recording are immense and unprecedented .... Godard's History of Cinema (1998) represents an important step towards such database cinema. Godard treats the whole history of cinema as his source material, traversing this database back and forth, like a virtual camera flying over a landscappe made from old media. ,"
11/3/2017 17:42:08,Multimedia,Jan Simons,236,The New Media Book,"What is said about 'digital' also applies to the notion of 'multimediality', which is usually taken to refer to the 'seamless integration of data, text, sound, and images of all kinds with a single, digital information environtment'. The  use of the term 'multimedia' has indeed, as this definition suggests, been restricted to refer to digital, computer-based environment. However, as Manovich again rightly points out, multimediality is not a feature unique to new media. Cinema, television and the theatre already combine images, texts, sounds and often slide projections, rear projections and other sorts of special effects obtained by the inclusion of one or more 'other'media. The 'multimediality' o fthe theatre in fact inspired Einsteint's concept of 'montage of attractions'. .... Multimedia , then, actually mmeans that a single information environment offers the user simultaneous access to different sorts of media. The novelty of new media, therefore, primaritly consists of the computer's capacity to give access t different types of media at the same time, and this basically boils down to a capacity to present 'old media' in new ways and to suggest new uses for these old media. Multimediality in itself is, however, neither unique nor new, and the novelty of new media mainly and most importantly consists of a repositioning and redefinition of old media: what Jay David Bolter and Richard Grusin call  'remediation'. "
11/3/2017 19:02:53,Aesthetics,Manovich,87,The Machinima Reader,"It is my strong feeling that the emerging information aesthetics (i.e., the new cultural features specific to the information society) already have or will have a very different logic from modernism. The latter was driven by a strong desire to erase the old, a desire visible as much in the avant-garde artists' (particularly the futurists') statements that museums should be burned as in the dramatic destruction of all social and spiritual realities of many people in Russia after the 1917 Revolution, and in other countries after they became Soviet satellites after 1945. Culturally and ideologically, modernists wanted to start with a tabula rasa, radically distancing themselves from the past. ... Today we fcace the very real danger of being imprisoned by a new international style, something we can call the new 'global style'. the cultural globalizzation, of which cheap airline flight, the Web, and billions of mobile phones are three most visible manifetations, erases some dimension of the cultural specificityuy with an energy and speed impossible fo modernism. "
11/6/2017 9:55:31,Database,Andrea Polli,7,Environmental Sound Artists,"I believe that an active engagement with data models and databases is an important aspect of working in this medium. Through my collaborations with scientists, I have tried to learn as much as possible about the data in order to translate it more effectively. I have also combined sonifications with interviews with scientists, articles, and other textual information in order to add context and meaning to the work. Brett Stalbaum sees the database not as a static subject on which an artist projects meaning, or even as a malleable piece of 'clay' transformed by an artist. He sees it as a 'catalyzing factor in the conversation'. He optimistically states that 'data and control systems provide a channel through which ecosystems are able to express an influence in favor of their own protection'. However, in order for the expression of the data to be heard, he have to be listening."
11/6/2017 10:30:03,New Media,Christiane Paul,7,Digital Art,"once referred to as 'computer art', then multimedia art and cyberarts (from the 1960s-90s), digital art now is often used interchangeably with 'new media art'. .... what exactly is 'new' about the digital medium? Some of the convepts exlored in digital art date back almost a century, adn many others have been previously addressed in various 'traditional' arts. What is in factnew ist that digital technology has now reached such a stage of development that it offers entirely new possibbilities for the creation and experience of art."
11/6/2017 11:01:05,Database,Christiane Paul,174,Digital Art,"In the digital age, the concept of 'disembodiment' does not only apply to our physical ody but also to notions of the object and materiality in general. Information itself to a large extent seems to have lost its 'body', becoming an abstract 'quelity' that can make a fluid transition between different states of materiality. ... data are not necessarily attached to a specific form of manifestation. Information and data sets are intrinsically virtual, that is, they exist as processes that are not necessarily visible or graspable, such as the transferral and transmission of data via networks. The meaningfulness of data relies on possibilities of filtering the information and creating some form of organizing structure or 'map' -- be it mental or visual -- that can allow for orientation. "
11/6/2017 11:03:35,Database,Paul,175,Digital Art,"Every 'container' of information -- be it a library, a building, or a city -- essentially constitutes a dataspace and information architecture of its own..."
11/6/2017 11:05:53,Database,Paul,178,Digital Art,"The underlying concept nd structure of these visualization projects are the archive and database, which are key elements in mapping and our understanding of digital culture. During the 1990s, digital archives and databases developed into what could be seen as a cultural form. From the digitization of libraries, historical records, and museum collections to data collection for commercial purposees and the INternet as a gigantic data storage and retrieval system, archives and databases have become an essential form of cultural organization and memory. "
11/6/2017 11:07:13,Database,PAUL,178,Digital Art,"Databases in themselves are essentially a fairly dull affair, consisting of discrete units that are not necessarily meaningful. The power of databases consists in their relational potential, the possibility of establishing multiple connections between different sets of data and constructing narratives about cultures"
11/6/2017 11:08:59,Database,Paul,179,Digital Art,ONe of the inherent characteristics of digital art is the tension between the hierarchical structure of instructions and data sets and the seemingly infinite possibilities for reproducing and reconfiguring the information contained within these structures
11/6/2017 11:12:19,Database,Paul,181,Digital Art,"from the 1990s to the twenty-first century, artistic practive in the field of database aesthetics and data visualization has undergone a significant shift. Projects in the 1990s and early 2000s often experimented with the dynamic mapping of the Internet as territory or specific data sets or networked communication. The Web 2.0 era brought forth the phenomenon of big data, collections of data sets sos complex that they require new software tools for capture, search, analysis, and visualization. Big data analytics, the process of examining big data to uncover hidden patterns and unknown correlations also became a subject in art."
11/6/2017 11:27:53,Authorship,Lovejoy,13,Context Providers: Conditions of Meaning in Media Arts,"A congruence of factors emerged in the last century that created conditions that broke down traditional concepts of art as object and forced the evolution of dynamic forms with new functions. These factors challenge authorship as well as relations between artist and audience in the construction of meaning, and they rise new questions about the relationship between theory and practice."
11/6/2017 11:28:59,Database,Lovejoy,13,Context Providers: Conditions of Meaning in Media Arts,"Data  coulb be endlessly manipulated and stored in databases or archives to be called up for a myriad of uses within numerous contexts and disciplines, especially with regard to long-distance communications. "
11/6/2017 11:30:28,"Changes in Technology, Social, Global Context",Lovejoy,13,Context Providers: Conditions of Meaning in Media Arts,"In the context of the cultural developments that have emerged as a rsult of these major changes in technological standards, a new conciousness has evolved in which art as an object for inficidual viewing became more and more challenge. Not only had the artwork become immaterial and interactive, but it could be seen or experienced simultaneously by mass audiences in different locations. "
11/6/2017 11:31:33,Authorship,Lovejoy,13,Context Providers: Conditions of Meaning in Media Arts,"Although harnessing the creative process is stil the artist's essential task, the loss of full authorship control in creating a digital work has become a reality for those artist who seek to create self-generating forms that llow for significant levels of participation and agency."
11/6/2017 11:36:31,Authorship,Lovejoy,15,Context Providers: Conditions of Meaning in Media Arts,"[Bakhtin] is one of the first to focus and explore the meaning and structure fo dialogue as a collaborative rather than individual force. He believed that our individual acts of expression --wether visual, written, or oral-- are the result of dynamic, difficult inner struggle, which may sift through one's social knowledge to experiences with others' dialogic interconnection of cooperative exchange."
11/6/2017 11:39:52,Authorship,Lovejoy,15,Context Providers: Conditions of Meaning in Media Arts,"Because digital media are often literally dialogic... the position of 'making' and the relations between artist and audience are altered. Their roles and identities are changed. .. the interface meeting point between artowkr and viewer becomes an interplay between form and dialogue... Such collaborative systems, with their inherent contradictions, are a force for foging new unpredictability in aesthetic territory in a process Bakhtin termed 'the dialogic imagination'. In this process the role of the artist/author changes from one who has total control of the artwork to one who designs a 'framing' or 'ethonographic' structure that invites a wide public to collaborate. Without audience participation, the work is incomplete."
11/6/2017 11:41:40,Database,Lovejoy,15,Context Providers: Conditions of Meaning in Media Arts,"Digital technologies change the nature of interatcion itself. Digital functionality -- such as algorithmic caltculations, databases, and telecommunications -- transforma  work of art into a dynamic environment..."
11/6/2017 11:45:46,Sound,Lovejoy,18,Context Providers: Conditions of Meaning in Media Arts,"Sound tracks have become integral to most of such new media works and introduce a new flux and momentum to them as a vibratory, immaterial, shimmering element that may integrate many different connected elements within contemporary installation projects."
11/6/2017 11:50:17,Multimedia,Lovejoy,19,Context Providers: Conditions of Meaning in Media Arts,"IN an artwork as ''open system', exchange leads to agency, a place where negtiation takes place as a form of shared authorship and social exchange. IN their essay, Kristine Stiles and Edward Shanken maintain that agency is implicitly the primary goal and meaning of interacitve multimedia art. I f one of the functions of multimedia is agency, then meaning is derived from the queaities that agency obtains in interaction. As the authors put it, 'agency involves the freedom to create, change, and influence institutions and events, or to act as a proxy on behalf of someone else'. Agency, therefore is the importance of each individual voice as part of meaningful social interaction."
11/6/2017 11:55:45,"Changes in Technology, Social, Global Context",Lovejoy,26,Context Providers: Conditions of Meaning in Media Arts,"The hybrid and collaborative nature of art using digital technologies as a medium also questions established practices of institutions suchas museums, funding organizations, and the art world at large. Artists and curators face the difficulties of presenting art forms that often have no preconfigured physical components or have no established connections between the physical and the virtual realm"
11/6/2017 12:02:16,Authorship,Lovejoy,77,Digital Currents: art in the electronic age,"In “Death of the Author,”8 Barthes asserted that the author (or artist) is never the source and the site of meaning but rather that meaning is never invented, nor is it locked in. A work exists in a “multidimensional space in which a variety of works, none of them original, blend and clash. The work is a tissue of quotations drawn from the innumerable centers of culture . . . .;” The artist or author is no longer the only container for feelings, impressions, passions, but is rather “this immense dictionary from which he draws a writing (image) that can know no halt: life never does more than imitate the book, and the book itself is only a tissue of signs, an imitation that is lost, infinitely deferred.” This position of refusal to find fixed meanings or originality in authors, artists or their work is a fundamental refusal of what he regarded as an ossified and essentially backward-looking humanism."
11/6/2017 12:03:06,Authorship,Lovejoy,78,Digital Currents: art in the electronic age,"Deconstructive strategies opened the way to alternative representations involving social and cultural contexts for ideas. Eurocentric thought assumed a centered, authoritative voice based on a single worldview, structured through domination and transformation of subjected cultures. This attitude now seems outdated in the face of a globalized transnational, information economy. Even the process of analysis itself is suspect.
In the wake of cultural deconstruction and the shifting consciousness of the times, resistance to technology as an integral aspect of art-making and cultural development began to erode. Not only had new media invaded and changed the very fabric of public life by the mid-1970s (see Chapters 4 and 5), but they also began to play an integral part in altering perceptions and attitudes about the structure of art and its production and dissemination. The wider dispersal and dissemination of artistic practices could no longer be contained within the old framework. “The shift from art that could only refer to itself, to an art that could refer to everything, took place almost overnight.”9
"
